title,genre,bpm,pop,year
LOVE. FEAT. ZACARI.,conscious hip hop,126,85,2017
DNA.,conscious hip hop,140,83,2017
ELEMENT.,conscious hip hop,190,76,2017
Young Dumb & Broke,pop,137,84,2017
Location,pop,80,83,2017
Tunnel Vision,florida rap,172,78,2017
iSpy (feat. Lil Yachty),pop,75,76,2017
Lust For Life (with The Weeknd),art pop,100,73,2017
Strip That Down (feat. Quavo),dance pop,106,75,2017
Save That Shit,emo rap,106,82,2017
Gucci Gang,emo rap,120,69,2017
XO Tour Llif3,melodic rap,155,86,2017
Touch (feat. Kid Ink),dance pop,102,59,2017
1-800-273-8255,conscious hip hop,100,82,2017
Liability,art pop,76,79,2017
Green Light,art pop,129,78,2017
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",art pop,107,71,2017
broken,indie poptimism,123,76,2017
Despacito,latin,178,83,2017
Bad Things (with Camila Cabello),ohio hip hop,138,76,2017
Glorious (feat. Skylar Grey),pop rap,140,78,2017
Cold (feat. Future),pop,100,68,2017
Don't Wanna Know (feat. Kendrick Lamar),pop,100,66,2017
Little Dark Age,alternative dance,98,85,2017
Bad and Boujee (feat. Lil Uzi Vert),alt hip hop,127,78,2017
Slippery (feat. Gucci Mane),alt hip hop,142,74,2017
T-Shirt,alt hip hop,139,71,2017
Sky Walker (feat. Travis Scott),dance pop,146,78,2017
Malibu,dance pop,140,77,2017
Nights With You,art pop,120,61,2017
Slow Hands,dance pop,86,79,2017
Magnolia,alt hip hop,163,82,2017
Chameleon,alternative dance,120,48,2017
Feel It Still,indie rock,79,81,2017
Congratulations,dfw rap,123,85,2017
I Fall Apart,dfw rap,144,83,2017
Swang,hip hop,140,80,2017
Black Bealtes,hip hop,146,80,2017
Chill Bill (feat. J. Davi$ & Spooks),san diego rap,108,81,2017
Losin Control,hawaiian hip hop,97,79,2017
Too Good At Goodbyes,dance pop,92,77,2017
No Lie,dance pop,102,89,2017
Fetish (feat. Gucci Mane),dance pop,123,74,2017
Broccoli,alternative r&b,146,64,2017
Don't Leave,edm,122,68,2017
Love Galore (feat. Travis Scott),pop,135,81,2017
Look What You Made Me Do,pop,128,81,2017
...Ready For It?,pop,160,78,2017
Something Just Like This,dance pop,103,87,2017
Paris,dance pop,100,77,2017
All Night,boy band,145,78,2017
Middle Of The Night,boy band,130,65,2017
I Feel It Coming,canadian contemporary r&b,93,82,2017
goosebumps,hip hop,130,88,2017
BUTTERFLY EFFECT,hip hop,141,81,2017
Jocelyn Flores,emo rap,134,89,2017
Rake It Up (feat. Nicki Minaj),dirty south rap,150,73,2017
I Would Like,dance pop,121,62,2017
Juju on That Beat (TZ Anthem),hip hop,161,62,2017
Stay,complextro,102,80,2017
Youngblood,boy band,120,74,2018
FEFE,emo rap,126,75,2018
GUMMO,emo rap,157,67,2018
God is a woman,dance pop,145,83,2018
no tears left to cry,dance pop,122,82,2018
Jumanji,afroswing,96,65,2018
Answerphone (feat. Yxng Bane),basshall,113,60,2018
Mine,dance pop,143,80,2018
Eastside (with Halsey & Khalid),electropop,89,80,2018
lovely (with Khalid),art pop,115,91,2018
Look Alive (feat. Drake),memphis hip hop,140,78,2018
Finesse - Remix; feat. Cardi B,dance pop,105,78,2018
One Kiss (with Dua Lipa),dance pop,124,86,2018
Never Be the Same,dance pop,130,79,2018
I Like It,dance pop,136,83,2018
Bodak Yellow,dance pop,125,77,2018
Be Careful,dance pop,152,72,2018
Miss You (with Major Lazer & Tory Lanez),dance pop,100,61,2018
How Long,dance pop,110,77,2018
Done for Me (feat. Kehlani),dance pop,112,72,2018
The Way I Am,dance pop,115,68,2018
This Is America,alt hip hop,120,75,2018
Tequila,contemporary country,86,75,2018
Nevermind,israeli pop,100,79,2018
No Brainer,dance pop,136,71,2018
God's Plan,canadian hip hop,77,86,2018
Nonstop,canadian hip hop,155,82,2018
Nice For What,canadian hip hop,93,81,2018
In My Feelings,canadian hip hop,91,80,2018
I'm Upset,canadian hip hop,150,73,2018
IDGAF,dance pop,97,83,2018
In My Mind,edm,126,83,2018
Trip,dance pop,80,77,2018
Boo'd Up,dance pop,82,73,2018
River (feat. Ed Sheeran),detroit hip hop,90,77,2018
German,afroswing,103,71,2018
Let's Fall in Love for the Night,alt z,128,77,2018
Simple,contemporary country,200,75,2018
Him & I (with Halsey),indie pop rap,88,80,2018
Shotgun,folk-pop,116,81,2018
Paradise,folk-pop,138,73,2018
we fell in love in october,bedroom pop,130,88,2018
"Let Me Go (with Alesso, Florida Georgia Line & watt)",dance pop,103,81,2018
Bad At Love,dance pop,118,77,2018
The Greatest Show,hollywood,158,77,2018
Natural,modern rock,100,85,2018
Make Me Feel,afrofuturism,115,68,2018
You Make It Easy,contemporary country,132,74,2018
"King's Dead (with Kendrick Lamar, Future & James Blake)",conscious hip hop,137,76,2018
Rise,dance pop,106,74,2018
Lucid Dreams,chicago rap,84,89,2018
LOVE. FEAT. ZACARI.,conscious hip hop,126,85,2018
All The Stars (with SZA),conscious hip hop,97,85,2018
Love Lies (with Normani),pop,144,78,2018
1950,alt z,72,77,2018
I Like Me Better,dance pop,92,86,2018
Yes Indeed,alt hip hop,120,84,2018
Freaky Friday (feat. Chris Brown),comedy rap,133,74,2018
Everyday,conscious hip hop,150,74,2018
Body,dance pop,122,77,2018
Bad Vibe,afroswing,110,58,2018
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",ohio hip hop,82,77,2018
Corazón (feat. Nego do Borel),latin,198,74,2018
Wait,pop,126,64,2018
Happier,brostep,100,86,2018
Silence,brostep,142,84,2018
FRIENDS,brostep,95,83,2018
Spotlight,brostep,150,76,2018
Walk It Talk It,alt hip hop,146,79,2018
MotorSport,alt hip hop,138,77,2018
Stir Fry,alt hip hop,182,75,2018
17,dance pop,122,69,2018
Let You Down,hip hop,148,84,2018
Te Boté - Remix,latin,97,81,2018
Ric Flair Drip (with Metro Boomin),alt hip hop,100,85,2018
Vaina Loca,latin,94,77,2018
Déjala Que Vuelva (feat. Manuel Turizo),colombian pop,170,76,2018
rockstar (feat. 21 Savage),dfw rap,160,87,2018
Better Now,dfw rap,145,84,2018
Psycho (feat. Ty Dolla $ign),dfw rap,140,82,2018
Powerglide (feat. Juicy J) - From SR3MM,hip hop,174,71,2018
Plug Walk,alt hip hop,95,77,2018
Mo Bamba,rap,146,81,2018
Strangers,dance pop,115,64,2018
Delicate,pop,95,81,2018
It's Not Living (If It's Not With You),modern alternative rock,121,75,2018
This Feeling,dance pop,105,78,2018
Sick Boy,dance pop,90,74,2018
Call Out My Name,canadian contemporary r&b,134,85,2018
Pray For Me (with Kendrick Lamar),canadian contemporary r&b,101,74,2018
Jackie Chan,big room,128,76,2018
SICKO MODE,hip hop,155,86,2018
Taste (feat. Offset),dance pop,98,78,2018
Saturday Sun,folk-pop,100,75,2018
SAD!,emo rap,75,88,2018
Moonlight,emo rap,128,87,2018
changes,emo rap,65,84,2018
If You're Over Me,dance pop,104,60,2018
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",cali rap,204,73,2018
The Middle,complextro,107,84,2018
a lot,alt hip hop,146,83,2019
Easier,boy band,176,74,2019
Swervin (feat. 6ix9ine),melodic rap,93,80,2019
Look Back at It,melodic rap,96,78,2019
Ladbroke Grove,grime,134,73,2019
China,latin,105,80,2019
Secreto,latin,92,79,2019
7 rings,dance pop,140,88,2019
"thank u, next",dance pop,107,85,2019
"break up with your girlfriend, i'm bored",dance pop,170,81,2019
boyfriend (with Social House),dance pop,190,81,2019
On A Roll,pop,125,62,2019
Callaita,latin,176,86,2019
MIA (feat. Drake),latin,97,82,2019
lovely (with Khalid),art pop,115,91,2019
bad guy,art pop,135,88,2019
when the party's over,art pop,83,85,2019
bury a friend,art pop,120,80,2019
Kill This Love,k-pop,132,79,2019
The Git Up,black americana,98,74,2019
Thotiana,cali rap,104,71,2019
Boy With Luv (feat. Halsey),k-pop,120,86,2019
Please Me,dance pop,134,79,2019
Money,dance pop,130,78,2019
Suge,north carolina hip hop,75,77,2019
Location (feat. Burna Boy),uk hip hop,110,81,2019
Juicy,dance pop,170,62,2019
3 Nights,alternative pop rock,152,84,2019
Money In The Grave (Drake ft. Rick Ross),canadian hip hop,101,82,2019
Don't Start Now,dance pop,124,84,2019
Take Me Back to London (feat. Stormzy),pop,138,71,2019
Cross Me (feat. Chance the Rapper & PnB Rock),pop,95,69,2019
Antisocial (with Travis Scott),pop,152,68,2019
Leave Me Alone,melodic rap,150,75,2019
Lost in the Fire (feat. The Weeknd),dark clubbing,101,89,2019
Without Me,dance pop,136,82,2019
emotions,melodic rap,81,77,2019
gone girl,melodic rap,95,75,2019
MIDDLE CHILD,conscious hip hop,124,85,2019
All Day And Night,dance pop,122,64,2019
Sorry,dance pop,125,68,2019
Sucker,boy band,138,84,2019
Only Human,boy band,94,76,2019
Robbery,chicago rap,80,84,2019
Good as You,black americana,154,70,2019
Nights Like This (feat. Ty Dolla $ign),dance pop,146,80,2019
Better,pop,98,81,2019
Talk (feat. Disclosure),pop,136,76,2019
ZEZE (feat. Travis Scott & Offset),florida rap,98,82,2019
Shallow,art pop,96,87,2019
Doin' Time,art pop,145,83,2019
i'm so tired...,dance pop,102,81,2019
Someone You Loved,pop,110,89,2019
Grace,pop,104,72,2019
Old Town Road - Remix,lgbtq+ hip hop,136,83,2019
Old Town Road,lgbtq+ hip hop,136,80,2019
Panini,lgbtq+ hip hop,154,76,2019
Ransom,melodic rap,180,83,2019
Truth Hurts,dance pop,158,80,2019
Good as Hell,dance pop,96,77,2019
Soltera - Remix,latin,92,74,2019
Light On,indie pop,102,72,2019
Nothing Breaks Like a Heart (feat. Miley Cyrus),dance pop,114,84,2019
Here With Me,brostep,100,77,2019
One Thing Right,brostep,88,77,2019
Piece Of Your Heart,edm,124,81,2019
Going Bad (feat. Drake),hip hop,86,83,2019
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),dance pop,99,73,2019
Slide Away,dance pop,148,74,2019
Pure Water (with Migos),cali rap,202,80,2019
Shotta Flow (feat. Blueface) [Remix],memphis hip hop,120,74,2019
Motivation,dance pop,171,76,2019
Options,afro dancehall,102,62,2019
Clout (feat. Cardi B),alt hip hop,140,73,2019
High Hopes,modern rock,82,85,2019
Adan y Eva,argentine hip hop,172,76,2019
Pop Out (feat. Lil Tjay),chicago rap,168,83,2019
Circles,dfw rap,120,89,2019
Better Now,dfw rap,145,84,2019
Sunflower - Spider-Man: Into the Spider-Verse,dfw rap,90,84,2019
Wow.,dfw rap,100,83,2019
Goodbyes (feat. Young Thug),dfw rap,150,82,2019
Bohemian Rhapsody - Remastered 2011,classic rock,144,77,2019
Ride It,dance pop,118,85,2019
Keisha & Becky - Remix,uk drill,141,73,2019
Post Malone (feat. RANI),dance pop,107,74,2019
My Type,cali rap,105,76,2019
Otro Trago,latin,176,76,2019
Señorita,canadian pop,117,83,2019
If I Can't Have You,canadian pop,124,78,2019
Don’t Feel Like Crying,dance pop,120,56,2019
Vossi Bop,grime,188,69,2019
Lover,pop,69,86,2019
Cruel Summer,pop,170,82,2019
You Need To Calm Down,pop,85,81,2019
SICKO MODE,hip hop,155,86,2019
EARFQUAKE,hip hop,80,85,2019
Boasty (feat. Idris Elba),grime,103,68,2019
Strike a Pose (feat. Aitch),afroswing,138,67,2019
The London (feat. J. Cole & Travis Scott),alt hip hop,98,75,2019
